Entity_Name,Entity_Type,Year,Quarter,registeredUser,State
795004,Pincode,2018,3,10911,manipur
795001,Pincode,2018,3,4101,manipur
795138,Pincode,2018,3,3219,manipur
795133,Pincode,2018,3,2534,manipur
795002,Pincode,2018,3,2316,manipur
795008,Pincode,2018,3,2279,manipur
795103,Pincode,2018,3,2219,manipur
795130,Pincode,2018,3,2128,manipur
795149,Pincode,2018,3,2114,manipur
795148,Pincode,2018,3,2056,manipur
imphal west,District,2018,3,21696,manipur
imphal east,District,2018,3,13541,manipur
thoubal,District,2018,3,6112,manipur
bishnupur,District,2018,3,5106,manipur
churachandpur,District,2018,3,3420,manipur
kangpokpi,District,2018,3,3073,manipur
kakching,District,2018,3,2326,manipur
ukhrul,District,2018,3,1346,manipur
tamenglong,District,2018,3,1268,manipur
jiribam,District,2018,3,1086,manipur
795004,Pincode,2018,2,8370,manipur
795001,Pincode,2018,2,3001,manipur
795138,Pincode,2018,2,2602,manipur
795133,Pincode,2018,2,1893,manipur
795130,Pincode,2018,2,1795,manipur
795149,Pincode,2018,2,1775,manipur
795008,Pincode,2018,2,1773,manipur
795002,Pincode,2018,2,1728,manipur
795148,Pincode,2018,2,1539,manipur
795103,Pincode,2018,2,1516,manipur
imphal west,District,2018,2,16541,manipur
imphal east,District,2018,2,10390,manipur
thoubal,District,2018,2,4771,manipur
bishnupur,District,2018,2,3751,manipur
churachandpur,District,2018,2,2362,manipur
kangpokpi,District,2018,2,2183,manipur
kakching,District,2018,2,1571,manipur
ukhrul,District,2018,2,905,manipur
tamenglong,District,2018,2,824,manipur
jiribam,District,2018,2,732,manipur
795004,Pincode,2018,1,5825,manipur
795001,Pincode,2018,1,2063,manipur
795138,Pincode,2018,1,1608,manipur
795008,Pincode,2018,1,1230,manipur
795133,Pincode,2018,1,1211,manipur
795002,Pincode,2018,1,1189,manipur
795130,Pincode,2018,1,1034,manipur
795149,Pincode,2018,1,1034,manipur
795009,Pincode,2018,1,970,manipur
795010,Pincode,2018,1,948,manipur
imphal west,District,2018,1,11304,manipur
imphal east,District,2018,1,6759,manipur
thoubal,District,2018,1,2764,manipur
bishnupur,District,2018,1,2371,manipur
churachandpur,District,2018,1,1524,manipur
kangpokpi,District,2018,1,1439,manipur
kakching,District,2018,1,915,manipur
